1	1/SN
내부조직이	내부/NNG + 조직/NNG + 이/JKS
보다	보다/MAG
더	더/MAG
관료적인	관료적/NNG + 이/VCP + ㄴ/ETM
형태로	형태/NNG + 로/JKB
확립이	확립/NNG + 이/JKC
되었고	되/VV + 었/EP + 고/EC
프랑스	프랑스/NNP
과학의	과학/NNG + 의/JKG
관료적	관료적/NNG
구조의	구조/NNG + 의/JKG
중심으로서	중심/NNG + 으로서/JKB
자기를	자기/NP + 를/JKO
잡게	잡/VV + 게/EC
되었다.	되/VV + 었/EP + 다/EF + ./SF

또한	또한/MAG
이	이/MM
기간	기간/NNG
동안에	동안/NNG + 에/JKB
아카데미가	아카데미/NNG + 가/JKS
처음에	처음/NNG + 에/JKB
지녔던	지니/VV + 었/EP + 던/ETM
베이컨주의적	베이컨/NNP + 주의/NNG + 적/XSN
경향은	경향/NNG + 은/JX
실험에	실험/NNG + 에/JKB
의한	의하/VV + ㄴ/ETM
과학적	과학적/NNG
진리의	진리/NNG + 의/JKG
습득이나	습득/NNG + 이나/JC
과학적	과학적/NNG
지식의	지식/NNG + 의/JKG
실제적	실제적/NNG
효용	효용/NNG
두	두/MM
가지	가지/NNB
면에서	면/NNG + 에서/JKB
모두	모두/MAG
맛본	맛보/VV + ㄴ/ETM
실망에	실망/NNG + 에/JKB
의해	의하/VV + 아/EC
크게	크/VA + 게/EC
퇴조했다.	퇴조/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그리고	그리고/MAJ
창립	창립/NNG
당시에는	당시/NNG + 에/JKB + 는/JX
너무	너무/MAG
가상적이라고	가상적/NNG + 이/VCP + 라고/EC
해서	하/VV + 아서/EC
의도적으로	의도적/NNG + 으로/JKB
배제했던	배제/NNG + 하/XSV + 았/EP + 던/ETM
데카르트주의가	데카르트/NNP + 주의/NNG + 가/JKS
주도적	주도적/NNG
경향이	경향/NNG + 이/JKC
되어	되/VV + 어/EC
갔고	가/VX + 았/EP + 고/EC
나중에는	나중/NNG + 에/JKB + 는/JX
라이프니츠의	라이프니츠/NNP + 의/JKG
영향도	영향/NNG + 도/JX
여기에	여기/NP + 에/JKB
가세했으며	가세/NNG + 하/XSA + 았/EP + 으며/EC
그에	그/NP + 에/JKB
따라	따르/VV + 아/EC
이론적이고	이론적/NNG + 이/VCP + 고/EC
수학적	수학적/NNG
색채가	색채/NNG + 가/JKS
강하게	강하/VA + 게/EC
나타났다.	나타나/VV + 았/EP + 다/EF + ./SF

이렇게	이렇/VA + 게/EC
이들	이/NP + 들/XSN
단체들이	단체/NNG + 들/XSN + 이/JKS
초창기에	초창기/NNG + 에/JKB
겪었던	겪/VV + 었/EP + 던/ETM
어려움은	어려움/NNG + 은/JX
물론	물론/MAG
재정상의	재정상/NNG + 의/JKG
어려움과도	어려움/NNG + 과/JKB + 도/JX
관련이	관련/NNG + 이/JKS
있지만	있/VV + 지만/EC
과학자들이	과학자/NNG + 들/XSN + 이/JKS
집단을	집단/NNG + 을/JKO
형성해서	형성/NNG + 하/XSV + 아서/EC
수행하는	수행/NNG + 하/XSV + 는/ETM
새로운	새롭/VA + ㄴ/ETM
형태의	형태/NNG + 의/JKG
과학활동이	과학/NNG + 활동/NNG + 이/JKS
자리잡는	자리/NNG + 잡/VV + 는/ETM
과정에서의	과정/NNG + 에서/JKB + 의/JKG
어려움의	어려움/NNG + 의/JKG
표현이었다고	표현/NNG + 이/VCP + 었/EP + 다고/EC
볼	보/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

앞에서도	앞/NNG + 에서/JKB + 도/JX
보았듯이	보/VV + 았/EP + 듯이/EC
이들	이/NP + 들/XSN
단체들	단체/NNG + 들/XSN
이전에는	이전/NNG + 에/JKB + 는/JX
과학자들은	과학자/NNG + 들/XSN + 은/JX
개인으로	개인/NNG + 으로/JKB
과학활동을	과학/NNG + 활동/NNG + 을/JKO
했었고	하/VV + 았었/EP + 고/EC
따라서	따라서/MAJ
일단	일단/MAG
단체를	단체/NNG + 를/JKO
조직한	조직/NNG + 하/XSV + ㄴ/ETM
후에는	후/NNG + 에/JKB + 는/JX
어떻게,	어떻/VA + 게/EC + ,/SP
그리고	그리고/MAJ
무엇을,	무엇/NP + 을/JKO + ,/SP
집단으로서	집단/NNG + 으로서/JKB
행할	행하/VV + ㄹ/ETM
것인가를	것/NNB + 이/VCP + ㄴ가/EF + 를/JKO
알아내어야만	알아내/VV + 어야/EC + 만/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

결국	결국/NNG
왕립학회와	왕립/NNG + 학회/NNG + 와/JC
과학아카데미가	과학/NNG + 아카데미/NNG + 가/JKS
처음에	처음/NNG + 에/JKB
겪었던	겪/VV + 었/EP + 던/ETM
어려움은	어려움/NNG + 은/JX
역사상	역사상/NNG
처음으로	처음/NNG + 으로/JKB
집단으로서의	집단/NNG + 으로서/JKB + 의/JKG
과학활동에	과학/NNG + 활동/NNG + 에/JKB
대해	대하/VV + 아/EC
알아	알/VV + 아/EC
가는	가/VX + 는/ETM
과정에	과정/NNG + 에/JKB
수반되는	수반/NNG + 되/XSV + 는/ETM
어려움이었으며	어려움/NNG + 이/VCP + 었/EP + 으며/EC
그런	그런/MM
어려움을	어려움/NNG + 을/JKO
겪으면서	겪/VV + 으면서/EC
점차적으로	점차적/NNG + 으로/JKB
각각의	각각/NNG + 의/JKG
과학단체가	과학/NNG + 단체/NNG + 가/JKS
그	그/MM
단체에	단체/NNG + 에/JKB
맞는	맞/VV + 는/ETM
새로운	새롭/VA + ㄴ/ETM
과학활동의	과학/NNG + 활동/NNG + 의/JKG
양식을	양식/NNG + 을/JKO
형성시켜	형성/NNG + 시키/XSV + 어/EC
갔고	가/VX + 았/EP + 고/EC
이것이	이것/NP + 이/JKS
17세기	17/SN + 세기/NNG
말에	말/NNB + 에/JKB
이르러서야	이르/VV + 어서/EC + 야/JX
자리를	자리/NNG + 를/JKO
잡은	잡/VV + 은/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

또한	또한/MAG
이들	이/NP + 들/XSN
단체들에서의	단체/NNG + 들/XSN + 에서/JKB + 의/JKG
과학활동이	과학/NNG + 활동/NNG + 이/JKS
자리를	자리/NNG + 를/JKO
잡으면서	잡/VV + 으면서/EC
그것은	그것/NP + 은/JX
이들	이/NP + 들/XSN
단체만에	단체/NNG + 만/JX + 에/JKB
국한되지	국한/NNG + 되/XSV + 지/EC
않고	않/VX + 고/EC
각각	각각/MAG
영국과	영국/NNP + 과/JC
프랑스	프랑스/NNP
과학활동의	과학/NNG + 활동/NNG + 의/JKG
특성으로	특성/NNG + 으로/JKB
자라났다.	자라나/VV + 았/EP + 다/EF + ./SF

영국의	영국/NNP + 의/JKG
과학이	과학/NNG + 이/JKS
왕립학회의	왕립/NNG + 학회/NNG + 의/JKG
과학활동의	과학/NNG + 활동/NNG + 의/JKG
특성인	특성/NNG + 이/VCP + ㄴ/ETM
경험적이고	경험적/NNG + 이/VCP + 고/EC
실험	실험/NNG
위주이며	위주/NNG + 이/VCP + 며/EC
산발적인	산발적/NNG + 이/VCP + ㄴ/ETM
경향을	경향/NNG + 을/JKO
보이고	보이/VV + 고/EC
그에	그/NP + 에/JKB
따라	따르/VV + 아/EC
개인과학자의	개인/NNG + 과학자/NNG + 의/JKG
천재적	천재적/NNG
능력에	능력/NNG + 에/JKB
의한	의하/VV + ㄴ/ETM
업적이	업적/NNG + 이/JKS
잦게	잦/VA + 게/EC
나타나는	나타나/VV + 는/ETM
데	데/NNB
반해서,	반하/VV + 아서/EC + ,/SP
프랑스의	프랑스/NNP + 의/JKG
과학은	과학/NNG + 은/JX
과학아카데미의	과학/NNG + 아카데미/NNG + 의/JKG
과학의	과학/NNG + 의/JKG
특성을	특성/NNG + 을/JKO
나타내어서	나타내/VV + 어서/EC
이론적이고	이론적/NNG + 이/VCP + 고/EC
수학적이며	수학적/NNG + 이/VCP + 며/EC
조직적이고	조직적/NNG + 이/VCP + 고/EC
체계적인	체계적/NNG + 이/VCP + ㄴ/ETM
특성을	특성/NNG + 을/JKO
띠게	띠/VV + 게/EC
되었고,	되/VV + 었/EP + 고/EC + ,/SP
18세기에	18/SN + 세기/NNG + 에/JKB
두드러졌던	두드러지/VA + 었/EP + 던/ETM
이같은	이/NP + 같/VA + 은/ETM
차이는	차이/NNG + 는/JX
그	그/MM
후로도	후/NNG + 로/JKB + 도/JX
계속되었다.	계속/NNG + 되/XSV + 었/EP + 다/EF + ./SF

과학혁명기	과학/NNG + 혁명기/NNG
동안의	동안/NNG + 의/JKG
과학단체들의	과학/NNG + 단체/NNG + 들/XSN + 의/JKG
출현이	출현/NNG + 이/JKS
과학활동의	과학/NNG + 활동/NNG + 의/JKG
새로운	새롭/VA + ㄴ/ETM
유형을	유형/NNG + 을/JKO
만들어내었던	만들/VV + 어/EC + 내/VX + 었/EP + 던/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

제9장	제/XPN + 9/SN + 장/NNG
과학혁명과	과학/NNG + 혁명/NNG + 과/JC
종교	종교/NNG

흔히	흔히/MAG
과학과	과학/NNG + 과/JC
종교의	종교/NNG + 의/JKG
관계는	관계/NNG + 는/JX
적대적인	적대적/NNG + 이/VCP + ㄴ/ETM
것으로	것/NNB + 으로/JKB
생각한다.	생각/NNG + 하/XSV + ㄴ다/EF + ./SF

신에	신/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
믿음과	믿음/NNG + 과/JC
자연에	자연/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
과학적	과학적/NNG
탐구는	탐구/NNG + 는/JX
서로	서로/MAG
무관하거나,	무관/XR + 하/XSA + 거나/EC + ,/SP
관련이	관련/NNG + 이/JKS
있다	있/VV + 다/EF
해도	하/VV + 아도/EC
상반되는	상반/NNG + 되/XSV + 는/ETM
것으로	것/NNB + 으로/JKB
취급된	취급/NNG + 되/XSV + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

1	1/SN

과학혁명기의	과학/NNG + 혁명기/NNG + 의/JKG
종교에	종교/NNG + 에/JKB
대해	대하/VV + 아/EC
생각할	생각/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
가장	가장/MAG
먼저	먼저/MAG
머리에	머리/NNG + 에/JKB
떠오르는	떠오르/VV + 는/ETM
일은	일/NNG + 은/JX
갈릴레오의	갈릴레오/NNP + 의/JKG
재판이다.	재판/NNG + 이/VCP + 다/EF + ./SF

흔히	흔히/MAG
갈릴레오를	갈릴레오/NNP + 를/JKO
자유롭고	자유/NNG + 롭/XSA + 고/EC
진보적인	진보적/NNG + 이/VCP + ㄴ/ETM
생각을	생각/NNG + 을/JKO
가진	가지/VV + ㄴ/ETM
과학자의	과학자/NNG + 의/JKG
표본처럼	표본/NNG + 처럼/JKB
생각한다.	생각/NNG + 하/XSV + ㄴ다/EF + ./SF

그리고	그리고/MAJ
그에	그/NP + 에/JKB
대한	대하/VV + ㄴ/ETM
재판에	재판/NNG + 에/JKB
대해서는,	대하/VV + 아서/EC + 는/JX + ,/SP
과학적	과학적/NNG
방법에	방법/NNG + 에/JKB
의해	의하/VV + 아/EC
확인된	확인/NNG + 되/XSV + ㄴ/ETM
우주에	우주/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
참된	참/NNG + 되/XSA + ㄴ/ETM
지식을	지식/NNG + 을/JKO
그가	그/NP + 가/JKS
계속	계속/MAG
주장하는	주장/NNG + 하/XSV + 는/ETM
것을	것/NNB + 을/JKO
보수적인	보수적/NNG + 이/VCP + ㄴ/ETM
교회당국이	교회/NNG + 당국/NNG + 이/JKS
고집스럽게	고집/NNG + 스럽/XSA + 게/EC
받아들이지	받아들이/VV + 지/EC
않고	않/VX + 고/EC
오히려	오히려/MAG
자신들의	자신/NNG + 들/XSN + 의/JKG
권위에의	권위/NNG + 에/JKB + 의/JKG
도전으로	도전/NNG + 으로/JKB
생각해서	생각/NNG + 하/XSV + 아서/EC
억압한	억압/NNG + 하/XSV + ㄴ/ETM
것으로	것/NNB + 으로/JKB
알고	알/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

물론	물론/MAG
이러한	이러/XR + 하/XSA + ㄴ/ETM
생각은	생각/NNG + 은/JX
어느	어느/MM
정도는	정도/NNG + 는/JX
근거를	근거/NNG + 를/JKO
가지고	가지/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

그러나	그러나/MAJ
이	이/MM
사건을	사건/NNG + 을/JKO
자유롭고	자유/NNG + 롭/XSA + 고/EC
진보적인	진보적/NNG + 이/VCP + ㄴ/ETM
과학과	과학/NNG + 과/JC
보수적이고	보수적/NNG + 이/VCP + 고/EC
퇴영적인	퇴영적/NNG + 이/VCP + ㄴ/ETM
종교와의	종교/NNG + 와/JKB + 의/JKG
관계의	관계/NNG + 의/JKG
전형적인	전형적/NNG + 이/VCP + ㄴ/ETM
예로서까지	예/NNG + 로서/JKB + 까지/JX
생각하는	생각/NNG + 하/XSV + 는/ETM
것은	것/NNB + 은/JX
커다란	커다랗/VA + ㄴ/ETM
잘못이다.	잘못/NNG + 이/VCP + 다/EF + ./SF

오랫동안의	오랫동안/NNG + 의/JKG
많은	많/VA + 은/ETM
역사적	역사적/NNG
연구들은	연구/NNG + 들/XSN + 은/JX
사건이	사건/NNG + 이/JKS
그렇게	그렇/VA + 게/EC
단순하지만은	단순/NNG + 하/XSA + 지/EC + 만/JX + 은/JX
않았음을	않/VX + 았/EP + 음/ETN + 을/JKO
보여준다.	보이/VV + 어/EC + 주/VX + ㄴ다/EF + ./SF

갈릴레오는	갈릴레오/NNP + 는/JX
1610년경	1610/SN + 년/NNB + 경/XSN
당시	당시/NNG
새로	새로/MAG
고안된	고안/NNG + 되/XSV + ㄴ/ETM
망원경을	망원경/NNG + 을/JKO
자신이	자신/NNG + 이/JKS
직접	직접/MAG
만들어서	만들/VV + 어서/EC
하늘을	하늘/NNG + 을/JKO
관측했다.	관측/NNG + 하/XSV + 았/EP + 다/EF + ./SF

1611년에서	1611/SN + 년/NNB + 에서/JKB
1615년	1615/SN + 년/NNB
사이에	사이/NNG + 에/JKB
특히	특히/MAG
잦았던	잦/VA + 았/EP + 던/ETM
갈릴레오의	갈릴레오/NNP + 의/JKG
이러한	이러/XR + 하/XSA + ㄴ/ETM
주장은	주장/NNG + 은/JX
카톨릭	카톨릭/NNG
교회당국에	교회/NNG + 당국/NNG + 에/JKB
큰	크/VA + ㄴ/ETM
불안을	불안/NNG + 을/JKO
안겨	안기/VV + 어/EC
주었다.	주/VX + 었/EP + 다/EF + ./SF

그동안	그동안/NNG
받아들여져	받아들이/VV + 어/EC + 지/VX + 어/EC
오던	오/VX + 던/ETM
안정된	안정/NNG + 되/XSV + ㄴ/ETM
우주구조,	우주/NNG + 구조/NNG + ,/SP
즉	즉/MAG
인간중심의	인간/NNG + 중심/NNG + 의/JKG
사고방식에	사고방식/NNG + 에/JKB
맞도록	맞/VV + 도록/EC
인간이	인간/NNG + 이/JKS
사는	살/VV + 는/ETM
지구가	지구/NNG + 가/JKS
중심에	중심/NNG + 에/JKB
있고	있/VV + 고/EC
맨	맨/MM
바깥에	바깥/NNG + 에/JKB
신이	신/NNG + 이/JKS
사는	살/VV + 는/ETM
하늘이	하늘/NNG + 이/JKS
있는	있/VV + 는/ETM
조화된	조화/NNG + 되/XSV + ㄴ/ETM
우주구조가	우주/NNG + 구조/NNG + 가/JKS
깨지면	깨지/VV + 면/EC
이에	이/NP + 에/JKB
바탕한	바탕/NNG + 하/XSV + ㄴ/ETM
기독교의	기독교/NNG + 의/JKG
교리까지도	교리/NNG + 까지/JX + 도/JX
흔들리게	흔들리/VV + 게/EC
됨은	되/VV + ㅁ/ETN + 은/JX
자명했다.	자명/XR + 하/XSA + 았/EP + 다/EF + ./SF

이런	이런/MM
이유에서	이유/NNG + 에서/JKB
내려진	내려지/VV + ㄴ/ETM
것이	것/NNB + 이/JKS
1616년의	1616/SN + 년/NNB + 의/JKG
코페르니쿠스	코페르니쿠스/NNP
우주구조에	우주/NNG + 구조/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
금지령이었다.	금지령/NNG + 이/VCP + 었/EP + 다/EF + ./SF

그러나	그러나/MAJ
갈릴레오는	갈릴레오/NNP + 는/JX
이	이/MM
금지령을	금지령/NNG + 을/JKO
어기지	어기/VV + 지/EC
않고도	않/VX + 고/EC + 도/JX
자신의	자신/NNG + 의/JKG
주장을	주장/NNG + 을/JKO
계속할	계속/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있었다.	있/VV + 었/EP + 다/EF + ./SF

코페르니쿠스	코페르니쿠스/NNP
우주구조가	우주/NNG + 구조/NNG + 가/JKS
옳다고	옳/VA + 다고/EC
말하진	말/NNG + 하/XSV + 지/EC + ㄴ/JX
않는	않/VX + 는/ETM
대신,	대신/NNG + ,/SP
아리스토텔레스	아리스토텔레스/NNP
우주구조에	우주/NNG + 구조/NNG + 에/JKB
바탕이	바탕/NNG + 이/JKC
되는	되/VV + 는/ETM
생각들을	생각/NNG + 들/XSN + 을/JKO
반박하거나	반박/NNG + 하/XSV + 거나/EC
코페르니쿠스	코페르니쿠스/NNP
우주구조에	우주/NNG + 구조/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
반론들을	반론/NNG + 들/XSN + 을/JKO
되받아	되받/VV + 아/EC
반박하는	반박/NNG + 하/XSV + 는/ETM
일들을	일/NNG + 들/XSN + 을/JKO
계속했던	계속/NNG + 하/XSV + 았/EP + 던/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

따라서	따라서/MAJ
이러한	이러/XR + 하/XSA + ㄴ/ETM
허가를	허가/NNG + 를/JKO
내린	내리/VV + ㄴ/ETM
교황의	교황/NNG + 의/JKG
참뜻은	참뜻/NNG + 은/JX
교회가	교회/NNG + 가/JKS
코페르니쿠스	코페르니쿠스/NNP
우주구조를	우주/NNG + 구조/NNG + 를/JKO
무작정	무작정/NNG
금지한	금지/NNG + 하/XSV + ㄴ/ETM
것이	것/NNB + 이/JKC
아니라	아니/VCN + 라/EC
충분히	충분히/MAG
공정한	공정/NNG + 하/XSA + ㄴ/ETM
고찰을	고찰/NNG + 을/JKO
한	하/VV + ㄴ/ETM
후에	후/NNG + 에/JKB
그런	그런/MM
결정을	결정/NNG + 을/JKO
내린	내리/VV + ㄴ/ETM
것을	것/NNB + 을/JKO
보이기	보이/VV + 기/ETN
위해서였던	위하/VV + 아서/EC + 이/VCP + 었/EP + 던/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
갈릴레오는	갈릴레오/NNP + 는/JX
이러한	이러/XR + 하/XSA + ㄴ/ETM
교황의	교황/NNG + 의/JKG
참뜻을	참뜻/NNG + 을/JKO
착각했고,	착각/NNG + 하/XSV + 았/EP + 고/EC + ,/SP
그	그/MM
허가가	허가/NNG + 가/JKS
이제야말로	이제/NNG + 야말로/JX
코페르니쿠스	코페르니쿠스/NNP
우주구조의	우주/NNG + 구조/NNG + 의/JKG
우수함을	우수/NNG + 하/XSA + ㅁ/ETN + 을/JKO
명백히	명백히/MAG
보여줄	보이/VV + 어/EC + 주/VX + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
계기를	계기/NNG + 를/JKO
마련해	마련/NNG + 하/XSV + 아/EC
준	주/VX + ㄴ/ETM
것으로	것/NNB + 으로/JKB
받아들였다.	받아들이/VV + 었/EP + 다/EF + ./SF

또한	또한/MAG
갈릴레오의	갈릴레오/NNP + 의/JKG
탁월한	탁월/XR + 하/XSA + ㄴ/ETM
문장력에	문장력/NNG + 에/JKB
의해	의하/VV + 아/EC
책의	책/NNG + 의/JKG
판매도	판매/NNG + 도/JX
큰	크/VA + ㄴ/ETM
성공을	성공/NNG + 을/JKO
거두어서	거두/VV + 어서/EC
출판	출판/NNG
당시부터	당시/NNG + 부터/JX
굉장한	굉장/XR + 하/XSA + ㄴ/ETM
인기를	인기/NNG + 를/JKO
끌었다.	끌/VV + 었/EP + 다/EF + ./SF

교회당국은	교회/NNG + 당국/NNG + 은/JX
뒤늦게	뒤늦/VA + 게/EC
자신들의	자신/NNG + 들/XSN + 의/JKG
실수를	실수/NNG + 를/JKO
깨달았다.	깨닫/VV + 았/EP + 다/EF + ./SF

결국	결국/NNG
무엇보다도	무엇/NP + 보다/JKB + 도/JX
교회측의	교회/NNG + 측/NNB + 의/JKG
이러한	이러/XR + 하/XSA + ㄴ/ETM
분격이	분격/NNG + 이/JKS
갈릴레오에	갈릴레오/NNP + 에/JKB
대한	대하/VV + ㄴ/ETM
가혹한	가혹/NNG + 하/XSA + ㄴ/ETM
조처의	조처/NNG + 의/JKG
가장	가장/MAG
큰	크/VA + ㄴ/ETM
원인이었던	원인/NNG + 이/VCP + 었/EP + 던/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

즉	즉/MAG
갈릴레오	갈릴레오/NNP
개인이	개인/NNG + 이/JKS
교회의	교회/NNG + 의/JKG
명을	명/NNG + 을/JKO
받아들여	받아들이/VV + 어/EC
1616년의	1616/SN + 년/NNB + 의/JKG
금지령의	금지령/NNG + 의/JKG
내용에	내용/NNG + 에/JKB
덧붙여서,	덧붙이/VV + 어서/EC + ,/SP
코페르니쿠스	코페르니쿠스/NNP
우주구조에	우주/NNG + 구조/NNG + 에/JKB
대해서는	대하/VV + 아서/EC + 는/JX
이의	이/NP + 의/JKG
옹호는	옹호/NNG + 는/JX
물론	물론/MAG
여하한	여하/NNG + 하/XSA + ㄴ/ETM
형태로도	형태/NNG + 로/JKB + 도/JX
글이나	글/NNG + 이나/JC
말로써	말/NNG + 로써/JKB
논의조차	논의/NNG + 조차/JX
하지	하/VV + 지/EC
않겠다고	않/VX + 겠/EP + 다고/EC
한	하/VV + ㄴ/ETM
서약서가	서약서/NNG + 가/JKS
교회	교회/NNG
당국에	당국/NNG + 에/JKB
의해서	의하/VV + 아서/EC
제시된	제시/NNG + 되/XSV + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그리고	그리고/MAJ
그가	그/NP + 가/JKS
공적으로	공적/NNG + 으로/JKB
그의	그/NP + 의/JKG
죄를	죄/NNG + 를/JKO
시인하고	시인/NNG + 하/XSV + 고/EC
참회하는	참회/NNG + 하/XSV + 는/ETM
뜻을	뜻/NNG + 을/JKO
발표하자	발표/NNG + 하/XSV + 자/EC
그의	그/NP + 의/JKG
처벌은	처벌/NNG + 은/JX
무기징역으로	무기/NNG + 징역/NNG + 으로/JKB
그리고	그리고/MAJ
이내	이내/MAG
가내	가내/NNG
연금으로	연금/NNG + 으로/JKB
감형되었다.	감형/NNG + 되/XSV + 었/EP + 다/EF + ./SF

이후	이후/NNG
10년간	10/SN + 년/NNB + 간/NNG
그는	그/NP + 는/JX
천문학이나	천문학/NNG + 이나/JC
우주구조에	우주/NNG + 구조/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
논의는	논의/NNG + 는/JX
삼가한	삼가하/VV + ㄴ/ETM
채	채/NNB
역학의	역학/NNG + 의/JKG
연구와	연구/NNG + 와/JC
집필을	집필/NNG + 을/JKO
하다가	하/VV + 다가/EC
일생을	일생/NNG + 을/JKO
마쳤다.	마치/VV + 었/EP + 다/EF + ./SF

이상	이상/NNG
살펴본	살펴보/VV + ㄴ/ETM
갈릴레오와	갈릴레오/NNP + 와/JC
교회와의	교회/NNG + 와/JKB + 의/JKG
사이에	사이/NNG + 에/JKB
있었던	있/VV + 었/EP + 던/ETM
일련의	일련/NNG + 의/JKG
사건들에서	사건/NNG + 들/XSN + 에서/JKB
우리는	우리/NP + 는/JX
단순히	단순히/MAG
과학과	과학/NNG + 과/JC
종교의	종교/NNG + 의/JKG
대항이	대항/NNG + 이/JKC
아닌	아니/VCN + ㄴ/ETM
여러	여러/MM
측면을	측면/NNG + 을/JKO
찾아	찾/VV + 아/EC
볼	보/VX + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

우선	우선/MAG
당시의	당시/NNG + 의/JKG
카톨릭교회가	카톨릭/NNG + 교회/NNG + 가/JKS
처했던	처하/VV + 았/EP + 던/ETM
정치적	정치적/NNG
상황이다.	상황/NNG + 이/VCP + 다/EF + ./SF

16세기의	16/SN + 세기/NNG + 의/JKG
종교개혁	종교/NNG + 개혁/NNG
이후	이후/NNG
계속된	계속/NNG + 되/XSV + ㄴ/ETM
개신교측의	개신교/NNG + 측/NNB + 의/JKG
공격에	공격/NNG + 에/JKB
대처해서	대처/NNG + 하/XSV + 아서/EC
교회자체의	교회/NNG + 자체/NNG + 의/JKG
정화	정화/NNG
등을	등/NNB + 을/JKO
내세워	내세우/VV + 어/EC
반격을	반격/NNG + 을/JKO
꾀해야	꾀하/VV + 아야/EC
했던	하/VX + 았/EP + 던/ETM
카톨릭교회로서는	카톨릭/NNG + 교회/NNG + 로서/JKB + 는/JX
교회의	교회/NNG + 의/JKG
신학적	신학적/NNG
배경이	배경/NNG + 이/JKS
약화되는	약화/NNG + 되/XSV + 는/ETM
일은	일/NNG + 은/JX
그것이	그것/NP + 이/JKS
철학적인	철학적/NNG + 이/VCP + ㄴ/ETM
사실이건	사실/NNG + 이/VCP + 건/EC
과학적인	과학적/NNG + 이/VCP + ㄴ/ETM
사실이건	사실/NNG + 이/VCP + 건/EC
방치할	방치/NNG + 하/XSV + ㄹ/ETM
수는	수/NNB + 는/JX
없었다.	없/VA + 었/EP + 다/EF + ./SF

교황	교황/NNG
자신의	자신/NNG + 의/JKG
개인적	개인적/NNG
환경도	환경/NNG + 도/JX
이에	이/NP + 에/JKB
작용했다.	작용/NNG + 하/XSV + 았/EP + 다/EF + ./SF

갈릴레오	갈릴레오/NNP
자신의	자신/NNG + 의/JKG
낙관적인	낙관적/NNG + 이/VCP + ㄴ/ETM
생각과	생각/NNG + 과/JC
순진한	순진/XR + 하/XSA + ㄴ/ETM
면도	면/NNG + 도/JX
이에	이/NP + 에/JKB
기여했다.
	기여/NNG + 하/XSV + 았/EP + 다/EF + ./SF

실제로	실제로/MAG
재판을	재판/NNG + 을/JKO
받기	받/VV + 기/ETN
위해	위하/VV + 아/EC
교황청에	교황청/NNG + 에/JKB
출두할	출두/NNG + 하/XSV + ㄹ/ETM
때까지	때/NNG + 까지/JX
그는	그/NP + 는/JX
자신의	자신/NNG + 의/JKG
합리적인	합리적/NNG + 이/VCP + ㄴ/ETM
주장으로	주장/NNG + 으로/JKB
교황청당국자들을	교황청/NNG + 당국자/NNG + 들/XSN + 을/JKO
설득시킬	설득/NNG + 시키/XSV + ㄹ/ETM
수	수/NNB
있을	있/VV + 을/ETM
것이라고	것/NNB + 이/VCP + 라고/EC
믿고	믿/VV + 고/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

여기에는	여기/NP + 에/JKB + 는/JX
자신의	자신/NNG + 의/JKG
철저한	철저/NNG + 하/XSA + ㄴ/ETM
카톨릭신앙에	카톨릭/NNG + 신앙/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
갈릴레오의	갈릴레오/NNP + 의/JKG
자신감도	자신감/NNG + 도/JX
작용해서,	작용/NNG + 하/XSV + 아서/EC + ,/SP
신이	신/NNG + 이/JKS
창조한	창조/NNG + 하/XSV + ㄴ/ETM
우주에	우주/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
참된	참/NNG + 되/XSA + ㄴ/ETM
지식을	지식/NNG + 을/JKO
밝혀내는	밝혀내/VV + 는/ETM
것이	것/NNB + 이/JKS
신에	신/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
거역이	거역/NNG + 이/JKC
될	되/VV + ㄹ/ETM
수는	수/NNB + 는/JX
없다고	없/VA + 다고/EC
굳게	굳/VA + 게/EC
